gender,w_ranking,inbreeding1,inbreeding2,inbreeding3,inbreeding4
Female,330,0.129251701,0.136054422,0.278911565,0.285714286
Male,332,0.2,0.342857143,0.342857143,0.485714286
Female,332,0.175,0.25,0.425,0.5
Male,333,0.10031348,0.159874608,0.260188088,0.319749216
Female,333,0.136150235,0.197183099,0.319248826,0.38028169
Male,337,0.297619048,0.373809524,0.447619048,0.523809524
Female,337,0.370454545,0.447727273,0.527272727,0.604545455
Male,339,0.116402116,0.164021164,0.264550265,0.312169312
Female,339,0.092307692,0.153846154,0.246153846,0.307692308
Male,341,0,0.090909091,0.136363636,0.227272727
Female,341,0,0.055555556,0.166666667,0.222222222
Male,342,0.125,0.210526316,0.302631579,0.388157895
Female,342,0.228395062,0.296296296,0.413580247,0.481481481
Male,345,0.316455696,0.405063291,0.455696203,0.544303797
Female,345,0.357142857,0.428571429,0.523809524,0.595238095
Male,346,0.050847458,0.084745763,0.186440678,0.220338983
Female,346,0.047619048,0.085714286,0.2,0.238095238
Male,349,0.213973799,0.270742358,0.427947598,0.484716157
Female,349,0.174311927,0.23853211,0.385321101,0.449541284
Male,352,0.020408163,0.067055394,0.148688047,0.195335277
Female,352,0.046511628,0.104651163,0.203488372,0.261627907
Male,355,0.388888889,0.555555556,0.5,0.666666667
Female,355,0.357142857,0.5,0.5,0.642857143
Male,356,0.029748284,0.070938215,0.14187643,0.183066362
Female,356,0.06,0.106666667,0.196666667,0.243333333
Male,360,0.11026616,0.159695817,0.25095057,0.300380228
Female,360,0.136363636,0.163636364,0.3,0.327272727
Male,363,0.328703704,0.493055556,0.4375,0.601851852
Female,363,0.390625,0.520833333,0.510416667,0.640625
Male,366,0.091743119,0.119266055,0.275229358,0.302752294
Female,366,0.110091743,0.19266055,0.220183486,0.302752294
Male,368,0.225352113,0.38028169,0.323943662,0.478873239
Female,368,0.191176471,0.397058824,0.235294118,0.441176471
Male,370,0.134868421,0.197368421,0.328947368,0.391447368
Female,370,0.219387755,0.306122449,0.397959184,0.484693878
Male,372,0.083333333,0.134057971,0.217391304,0.268115942
Female,372,0.060747664,0.135514019,0.205607477,0.280373832
Male,377,0.069767442,0.325581395,0.162790698,0.418604651
Female,377,0.076923077,0.205128205,0.179487179,0.307692308
Male,379,0.102362205,0.236220472,0.24671916,0.380577428
Female,379,0.101694915,0.237288136,0.237288136,0.372881356
Male,385,0.156779661,0.241525424,0.347457627,0.43220339
Female,385,0.123809524,0.20952381,0.342857143,0.428571429
Male,389,0.125448029,0.186379928,0.290322581,0.35125448
Female,389,0.18579235,0.234972678,0.322404372,0.371584699
Male,392,0.068376068,0.102564103,0.188034188,0.222222222
Female,392,0.15,0.2,0.3,0.35
Male,394,0.058962264,0.143867925,0.271226415,0.356132075
Female,394,0.08,0.146666667,0.328888889,0.395555556
Male,397,0.210031348,0.300940439,0.351097179,0.44200627
Female,397,0.153465347,0.222772277,0.336633663,0.405940594
Male,400,0.123076923,0.251282051,0.333333333,0.461538462
Female,400,0.103448276,0.24137931,0.320689655,0.45862069
Male,405,0.185110664,0.3138833,0.327967807,0.456740443
Female,405,0.219066937,0.438133874,0.336713996,0.555780933
Male,409,0.083941606,0.114963504,0.21350365,0.244525547
Female,409,0.070921986,0.127659574,0.177304965,0.234042553
Male,413,0.190965092,0.281314168,0.349075975,0.439425051
Female,413,0.216704289,0.354401806,0.388261851,0.525959368
Male,416,0.113207547,0.179245283,0.283018868,0.349056604
Female,416,0.126582278,0.170886076,0.265822785,0.310126582
