year,gender,inbreeding1,inbreeding2,inbreeding3,inbreeding4,inbreeding5,country_w,w_ranking,w_subject2,ranking_category,branking,dranking,continent_b,continent_d,continent_w,first_work_pre_avg_publications,first_work_pre_avg_jif,work_bachelor_year,country_b,country_d,bsubject2,dsubject2,work_to_2022,start_year_facawork_oid_sum_afterwork,start_year_facawork_oid_jifsum_afterwork,first_work_pre_avg_publications_afterwork,first_work_pre_avg_jif_afterwork,gender_inbreeding1,gender_inbreeding2,gender_inbreeding3,gender_inbreeding4
2011,1,0,0,0,0,1,NG,NA,3,>2000,NA,2001,Africa,Africa,Africa,0.461538462,0,13,NG,NG,11,3,11,26,0,2.363636364,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2019,1,0,0,0,0,1,ES,2001,4,>2000,NA,NA,Europe,Europe,Europe,0.857142857,0,14,ES,ES,6,4,3,2,0,0.666666667,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2020,0,1,1,1,1,0,ES,86,6,0-500,86,86,Europe,Europe,Europe,0.666666667,2.466666667,12,ES,ES,6,6,2,0,0,0,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
1998,1,0,0,0,0,1,BR,2001,7,>2000,NA,1317,Latin America,Latin America,Latin America,NA,NA,0,BR,BR,7,7,24,7,0,0.291666667,0,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2013,0,1,1,1,1,0,ZA,24,4,0-500,24,24,Africa,Africa,Africa,0,0,17,ZA,ZA,4,4,9,0,0,0,0,Male Inbred,Male Inbred,Male Inbred,Male Inbred
2018,0,0,0,0,0,1,IL,175,4,0-500,NA,926,Asia,Asia,Asia,0.5,2,12,IN,IN,7,4,4,2,1.5,0.5,0.375,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2009,0,0,0,0,0,1,CL,1208,4,1000-1500,1243,1140,Latin America,Latin America,Latin America,0,0,8,CL,CL,7,7,13,10,30.7,0.769230769,2.361538462,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2017,0,0,0,0,0,1,US,NA,6,>2000,14,2,North America,North America,North America,0.888888889,12.31111111,9,US,US,4,4,5,1,16.6,0.2,3.32,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2016,1,1,1,1,1,0,ES,231,6,0-500,231,231,Europe,Europe,Europe,0.142857143,0.192857143,14,ES,ES,11,3,6,2,3.4,0.333333333,0.566666667,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2019,1,1,1,1,1,0,AU,186,6,0-500,186,186,Oceania,Oceania,Oceania,0,0,11,AU,AU,6,6,3,8,7.3,2.666666667,2.433333333,Female Inbred,Female Inbred,Female Inbred,Female Inbred
2004,1,0,0,0,0,1,IE,236,7,0-500,551,163,Europe,Europe,Europe,0.35,0.695,20,IE,GB,6,4,18,16,145.4,0.888888889,8.077777778,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2009,1,0,0,0,0,1,GB,1080,7,1000-1500,NA,1266,Europe,Europe,Europe,0.25,0,8,GB,GB,8,3,13,11,5.5,0.846153846,0.423076923,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
2019,1,0,0,0,0,1,US,225,4,0-500,421,421,Asia,Asia,North America,5.4,33.84,10,CN,CN,4,4,3,33,443.7,11,147.9,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred,Female Non-Inbred
1978,0,0,0,0,0,1,AU,416,7,0-500,209,171,Oceania,Oceania,Oceania,0,0,2,AU,AU,8,7,44,0,0,0,0,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
2004,1,0,1,0,1,0,PE,NA,7,>2000,NA,940,Latin America,Latin America,Latin America,0,0,10,PE,PE,7,7,18,7,1.1,0.388888889,0.061111111,Female Non-Inbred,Female Inbred,Female Non-Inbred,Female Inbred
1998,0,0,0,0,0,1,IN,2001,8,>2000,NA,2001,Asia,Asia,Asia,0,0,12,IN,IN,8,8,24,8,1.2,0.333333333,0.05,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred,Male Non-Inbred
