author_id,author_gender,author_academic_age,field_id,field,domain_id,domain,orcid,last_institution_id,last_institution_name,last_institution_country,last_institution_type,degree_institution_name,degree_institution_id,degree_institution_country,degree_institution_type,last_degree,graduate_year,degree_rank_type,us_top_degree_inst100,last_flow_year,institution_name,QS_2025,USNews_2025,THE_2025,ARWU_2024,rank_mean,is_inbred,rank_type
5050684671,Male,40,27,Medicine,4,Health Sciences,0000-0001-6000-4597,139264467,Seoul National University,KR,education,National University of Natural Medicine,158060073,US,education,phd,1979,3,0,1993,Seoul National University,31,135,62,86,78.5,0,1
5059378876,Female,22,25,Materials Science,3,Physical Sciences,0000-0002-9239-8436,161318765,"University of California, Los Angeles",US,education,California NanoSystems Institute,142207940,US,facility,phd,2004,3,0,2005,"University of California, Los Angeles",42,11,18,15,21.5,0,1
5014664087,Female,50,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-4485-6671,123387679,Uppsala University,SE,education,Indiana University Bloomington,4210119109,US,education,phd,1990,1,0,2009,Uppsala University,103,150,130,88,117.75,0,1
5062869548,Female,58,32,Psychology,2,Social Sciences,0000-0003-1126-1559,173911158,Iowa State University,US,education,"Rutgers, The State University of New Jersey",102322142,US,education,phd,2011,2,0,2014,Iowa State University,470,344,419,566,449.75,0,2
5073793359,Male,24,27,Medicine,4,Health Sciences,0000-0003-1552-3253,126307644,University of Iowa,US,education,Iowa State University,173911158,US,education,phd,2004,2,0,2006,University of Iowa,596,225,282,358,365.25,0,2
5052877317,Male,46,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-6968-0823,35440088,ETH Zurich,CH,education,ETH Zurich,35440088,CH,education,phd,2007,3,0,2008,ETH Zurich,7,33,11,21,18,1,1
5036569970,Male,27,32,Psychology,2,Social Sciences,0000-0002-2891-0175,79576946,University of Pennsylvania,US,education,Stanford University,97018004,US,education,phd,1997,1,0,2005,University of Pennsylvania,11,14,14,14,13.25,0,1
5007661434,Female,47,22,Engineering,3,Physical Sciences,0000-0002-0926-4120,7863295,Villanova University,US,education,Villanova University,7863295,US,education,phd,1988,3,0,1989,Villanova University,,894,,,894,1,3
5080826701,Male,37,25,Materials Science,3,Physical Sciences,0000-0003-3202-6398,204824540,University of Wollongong,AU,education,University of the Witwatersrand,192619145,ZA,education,phd,1987,3,0,2023,University of Wollongong,167,204,220,342,233.25,0,2
5009503530,Female,37,32,Psychology,2,Social Sciences,0000-0001-5560-6059,111979921,Northwestern University,US,education,Cornell University,205783295,US,education,phd,1993,1,0,1997,Northwestern University,50,24,31,33,34.5,0,1
5072046074,Female,46,27,Medicine,4,Health Sciences,0000-0003-2197-2610,5388228,University of Rochester,US,education,University of Cincinnati,63135867,US,education,phd,1999,1,0,2005,University of Rochester,236,199,127,168,182.5,0,1
5020633332,Female,21,27,Medicine,4,Health Sciences,0000-0002-3375-6985,55143463,University of Turin,IT,education,University of Turin,55143463,IT,education,phd,2007,3,0,2008,University of Turin,371,221,406,285,320.75,1,2
5007656278,Male,35,20,"Economics, Econometrics and Finance",2,Social Sciences,0000-0001-9496-1803,204824540,University of Wollongong,AU,education,University of Buenos Aires,24354313,AR,education,phd,1975,3,0,1990,University of Wollongong,167,204,233,310,228.5,0,2
5086774720,Male,34,18,Decision Sciences,2,Social Sciences,0000-0002-3562-9816,103163165,Florida State University,US,education,University of Minnesota,130238516,US,education,phd,2017,1,0,2018,Florida State University,573,305,349,397,406,0,2
5010242048,Male,45,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-2511-1834,79576946,University of Pennsylvania,US,education,Harvard University,136199984,US,education,phd,1991,1,0,1999,University of Pennsylvania,11,14,14,14,13.25,0,1
5045362269,Female,34,25,Materials Science,3,Physical Sciences,0000-0001-5638-0899,139264467,Seoul National University,KR,education,Seoul National University,139264467,KR,education,phd,2022,3,0,2023,Seoul National University,31,135,62,86,78.5,1,1
5040016588,Female,44,31,Physics and Astronomy,3,Physical Sciences,0000-0002-8666-2288,110166357,University of Delhi,IN,education,University of Delhi,110166357,IN,education,phd,1984,3,0,1991,University of Delhi,328,844,901,696,692.25,1,3
5015135158,Male,42,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0002-4605-9943,122411786,California Institute of Technology,US,education,Tel Aviv University,16391192,IL,education,phd,2011,3,0,2013,California Institute of Technology,10,23,7,8,12,0,1
5078117070,Male,42,14,"Business, Management and Accounting",2,Social Sciences,0000-0002-3815-7762,592451,Indiana University,US,education,University of Wisconsin–Stout,1921588,US,education,phd,1980,3,0,1988,Indiana University,355,135,189,182,215.25,0,2
5090533934,Male,54,14,"Business, Management and Accounting",2,Social Sciences,0000-0002-4108-7523,179225836,University of Augsburg,DE,education,University of Augsburg,179225836,DE,education,phd,2009,3,0,2010,University of Augsburg,,1321,,770,1045.5,1,4
5022729072,Female,26,12,Arts and Humanities,2,Social Sciences,0000-0002-9694-9653,179225836,University of Augsburg,DE,education,University of Erfurt,20431382,DE,education,phd,2003,3,0,2011,University of Augsburg,,1321,,720,1020.5,0,4
5018130591,Male,45,27,Medicine,4,Health Sciences,0000-0001-9881-7761,129902397,Dalhousie University,CA,education,University of New Brunswick,106938459,CA,education,phd,1983,3,0,1987,Dalhousie University,275,352,323,388,334.5,0,2
5064921819,Male,13,22,Engineering,3,Physical Sciences,0000-0001-9617-5101,97018004,Stanford University,US,education,Colorado School of Mines,167576493,US,education,phd,2019,2,0,2021,Stanford University,6,3,6,2,4.25,0,1
5022527094,Male,38,25,Materials Science,3,Physical Sciences,0000-0002-5860-1293,146655781,University of Liverpool,GB,education,Pennsylvania State University,130769515,US,education,phd,2010,1,0,2024,University of Liverpool,165,137,160,112,143.5,0,1
5012761747,Female,33,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-2436-3159,168635309,University of Calgary,CA,education,McGill University,5023651,CA,education,phd,2002,3,0,2005,University of Calgary,198,206,212,161,194.25,0,1
5047426583,Female,15,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-4091-9460,168635309,University of Calgary,CA,education,University of Calgary,168635309,CA,education,phd,2018,3,0,2019,University of Calgary,198,206,225,190,204.75,1,2
5087629613,Male,48,17,Computer Science,3,Physical Sciences,0000-0002-8634-1804,162827531,Indian Institute of Technology Bombay,IN,education,University of Illinois Urbana-Champaign,157725225,US,education,phd,2006,1,0,2009,Indian Institute of Technology Bombay,118,635,,,376.5,0,2
5033853790,Female,21,21,Energy,3,Physical Sciences,0000-0002-1517-0964,79619799,University of Birmingham,GB,education,University of Alicante,130194489,ES,education,phd,2007,3,0,2013,University of Birmingham,80,94,93,182,112.25,0,1
5030295153,Male,43,27,Medicine,4,Health Sciences,0000-0002-5839-5709,185261750,University of Toronto,CA,education,University of Ottawa,153718931,CA,education,phd,1986,3,0,1999,University of Toronto,25,17,21,26,22.25,0,1
5051680191,Male,56,22,Engineering,3,Physical Sciences,0000-0002-8808-5461,102149020,University of North Carolina at Charlotte,US,education,UNSW Sydney,31746571,AU,education,phd,1995,3,0,2011,University of North Carolina at Charlotte,1001,665,604,,756.6666667,0,3
5029259550,Male,22,32,Psychology,2,Social Sciences,0000-0003-3001-0739,184468904,University of Qom,IR,education,University of Tehran,23946033,IR,education,phd,2008,3,0,2009,University of Qom,,,1501,,1501,0,4
5087439830,Female,53,23,Environmental Science,3,Physical Sciences,0000-0001-8486-7119,92446798,Colorado State University,US,education,"University of California, Davis",84218800,US,education,phd,1998,1,0,2003,Colorado State University,442,311,402,298,363.25,0,2
5064320417,Female,29,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-9114-8737,51713134,University of Colorado Anschutz Medical Campus,US,education,University of Wisconsin–Madison,135310074,US,education,phd,1999,1,0,2021,University of Colorado Anschutz Medical Campus,,142,,,142,0,1
5035657559,Male,35,26,Mathematics,3,Physical Sciences,0000-0002-1305-2411,60858718,University of Aveiro,PT,education,University of Aveiro,60858718,PT,education,phd,2008,3,0,2009,University of Aveiro,359,549,798,445,537.75,1,3
5000468754,Female,50,11,Agricultural and Biological Sciences,1,Life Sciences,0000-0002-4289-3244,95457486,"University of California, Berkeley",US,education,Michigan State University,87216513,US,education,phd,1979,1,0,1982,"University of California, Berkeley",12,5,8,5,7.5,0,1
5030962937,Male,60,17,Computer Science,3,Physical Sciences,0000-0001-6052-0559,67415387,Lancaster University,GB,education,Lancaster University,67415387,GB,education,phd,1984,3,0,1985,Lancaster University,141,232,168,367,227,1,2
5067539523,Male,26,25,Materials Science,3,Physical Sciences,0000-0002-6777-7266,137902535,North Carolina State University,US,education,University of Chemistry and Technology,9073902,CZ,education,phd,1999,3,0,2000,North Carolina State University,311,262,264,252,272.25,0,2
5066619822,Male,63,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-9560-5210,125749732,Western University,CA,education,Dalhousie University,129902397,CA,education,phd,2010,3,0,2013,Western University,120,311,231,213,218.75,0,2
5018638372,Male,22,21,Energy,3,Physical Sciences,0000-0002-9578-0972,130701444,Georgia Institute of Technology,US,education,University of Arizona,138006243,US,education,phd,2009,1,0,2016,Georgia Institute of Technology,114,70,40,152,94,0,1
5006850471,Female,27,19,Earth and Planetary Sciences,3,Physical Sciences,0000-0002-6305-4749,165779595,University of Melbourne,AU,education,Ghent University,32597200,BE,education,phd,2005,3,0,2012,University of Melbourne,13,27,39,37,29,0,1
5032751148,Male,36,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-7854-8584,66946132,"University of Maryland, College Park",US,education,University of Wisconsin–Madison,135310074,US,education,phd,1990,1,0,1996,"University of Maryland, College Park",218,72,112,58,115,0,1
5003625501,Male,20,25,Materials Science,3,Physical Sciences,0000-0002-6273-9324,193775966,Yonsei University,KR,education,University of Sydney,129604602,AU,education,phd,2008,3,0,2011,Yonsei University,56,205,102,253,154,0,1
5090799132,Male,64,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0001-5605-1067,205783295,Cornell University,US,education,Cornell University,205783295,US,education,phd,1986,1,0,1994,Cornell University,16,19,20,12,16.75,1,1
5064988079,Female,26,17,Computer Science,3,Physical Sciences,0000-0002-6805-0325,201448701,University of Washington,US,education,Massachusetts Institute of Technology,63966007,US,education,phd,2005,1,0,2006,University of Washington,76,7,25,18,31.5,0,1
5002116022,Male,57,27,Medicine,4,Health Sciences,0000-0003-4859-5982,145311948,Johns Hopkins University,US,education,US Army Research Institute of Environmental Medicine,121067369,US,healthcare,phd,1991,3,0,2013,Johns Hopkins University,32,13,16,17,19.5,0,1
5009891370,Male,32,13,"Biochemistry, Genetics and Molecular Biology",1,Life Sciences,0000-0003-1585-5434,187531555,Lund University,SE,education,Lund University,187531555,SE,education,phd,1997,3,0,1998,Lund University,75,125,95,131,106.5,1,1
